Bairro,Latitude,Longitude
Marco,-1.4337274026202258,-48.46161739778115
Cidade Velha,-1.4596142871662123,-48.50579894037332
Batista Campos,-1.4596719122528972,-48.48981764464487
Nazaré,-1.452286257609553,-48.48125227059778
Umarizal,-1.4390959615038639,-48.48371043777586
Canudos,-1.4531646344508173,-48.46131751522532
Reduto,-1.4444986056907236,-48.49195587876878
Campina,-1.4501504098801623,-48.498405535639016
São Brás,-1.4496779157846857,-48.47116244594533
Castanheira,-1.40629215405936,-48.43145136846568
Curió-Utinga,-1.4235833663583948,-48.44611425887556
Mangueirão,-1.374047605560463,-48.446175143107304
Marambaia,-1.400312819048988,-48.453441822720656
Val-de-Cães,-1.3950055417506055,-48.47191222722505
Águas Lindas,-1.3968519480272783,-48.39332038268284
Souza,-1.41255440721719,-48.45077831798063
Universitário,-1.4585135004434184,-48.44110298384286
Aurá,-1.4043379159816836,-48.3973207817254
Guanabara,-1.3824036535959605,-48.41897120640293
Cremação,-1.4586479816143287,-48.4761326888418
Jurunas,-1.466998217525053,-48.493786329337254
Condor,-1.4698692410707412,-48.481040049378954
Terra Firme,-1.455210741450642,-48.45237253800631
Guamá,-1.461980750110683,-48.463395858386036
Parque Verde,-1.3629920998307319,-48.44408203150856
Tapanã,-1.3356527509273715,-48.47312772060456
Una,-1.3708556760605481,-48.4252926583561
Cabanagem,-1.366319368356491,-48.43215060129148
Coqueiro,-1.3344158441322356,-48.44344734808546
Pratinha,-1.3562337714128723,-48.47563861562975
São Clemente,-1.3647833658859074,-48.46140491736287
Bengui,-1.3693498317004182,-48.45712956585849
Barreiro,-1.409636801524257,-48.48294524073052
Pedreira,-1.4233092090503592,-48.47113678113785
Maracangalha,-1.3970102650421592,-48.481108016330204
Telégrafo,-1.4183861385840502,-48.487190073198995
Fátima,-1.440747232085611,-48.472341904385324
Miramar,-1.4049626299559563,-48.49039212320056
Sacramenta,-1.4114035009132684,-48.47645579701631
